uf_cod;uf_nome;taxa_ocupacao_pct;media_permanencia;leitos_sus_por_mil_hab;pct_leitos_uti;pressao_aih_por_leito;custo_medio_aih;taxa_mortalidade_pct;cluster;cluster_nome
12;Acre;48,0566;4,7266;1,8763;13,2634;37,1107;1037,8191;2,9085;0;Alta pressão
13;Amazonas;52,6411;4,5952;1,4636;13,1102;41,8132;1215,6625;3,1080;0;Alta pressão
53;Distrito Federal;69,7605;5,7226;1,8653;12,3047;44,4945;1699,9325;2,8405;0;Alta pressão
32;Espírito Santo;59,1110;4,7722;1,7214;15,7988;45,2107;1757,0892;3,8995;0;Alta pressão
50;Mato Grosso do Sul;58,3553;4,5806;1,5704;12,7334;46,4999;1592,7944;4,1541;0;Alta pressão
31;Minas Gerais;60,7866;4,6853;1,5779;13,2028;47,3551;2067,7098;4,4788;0;Alta pressão
41;Paraná;55,0245;4,0027;1,8459;12,3392;50,1757;2017,6483;3,8152;0;Alta pressão
15;Pará;52,3840;4,3057;1,4931;11,9906;44,4067;1278,5682;2,8377;0;Alta pressão
33;Rio de Janeiro;61,0164;5,8993;1,4244;14,8079;37,7520;1848,3591;6,3917;0;Alta pressão
42;Santa Catarina;57,3972;4,0658;1,6379;13,0402;51,5271;2223,4664;3,8129;0;Alta pressão
28;Sergipe;60,2945;5,4708;1,3438;14,9272;40,2275;1724,0619;4,6298;0;Alta pressão
35;São Paulo;63,3083;5,0086;1,3877;14,6829;46,1360;1880,9444;5,0155;0;Alta pressão
27;Alagoas;45,8568;5,7526;1,8955;12,0607;29,0961;1634,5167;4,5311;1;Baixa rotatividade
23;Ceará;53,0267;5,7308;1,9101;10,3491;33,7730;1558,0269;3,9481;1;Baixa rotatividade
25;Paraíba;44,3793;5,3027;2,0290;11,3634;30,5476;2120,9721;5,0349;1;Baixa rotatividade
43;Rio Grande do Sul;59,3502;5,7669;2,0471;12,4229;37,5640;1954,3078;5,2016;1;Baixa rotatividade
14;Roraima;47,3667;7,1669;1,9679;10,1571;24,1231;1310,9696;2,9112;1;Baixa rotatividade
16;Amapá;47,3440;4,6638;1,9366;10,3025;37,0526;941,8559;2,4934;2;Rede folgada
29;Bahia;45,0009;4,6889;1,8489;9,0403;35,0306;1414,5529;3,8959;2;Rede folgada
52;Goiás;42,4339;4,4706;1,8192;10,3016;34,6447;1590,5072;3,5229;2;Rede folgada
21;Maranhão;48,0764;4,9837;2,0617;9,0177;35,2106;1109,9028;2,9667;2;Rede folgada
51;Mato Grosso;47,9516;4,4775;1,7435;10,7239;39,0899;1318,8861;3,1918;2;Rede folgada
26;Pernambuco;50,9611;4,9971;1,8897;9,7928;37,2231;1760,6945;4,1914;2;Rede folgada
22;Piauí;46,0063;4,9860;1,9607;7,6691;33,6791;1262,9754;3,6426;2;Rede folgada
24;Rio Grande do Norte;41,7347;4,6631;1,9974;9,9580;32,6675;1919,0938;3,6894;2;Rede folgada
11;Rondônia;41,6532;4,9261;2,5864;9,9128;30,8631;1152,4293;3,1063;2;Rede folgada
17;Tocantins;50,3366;5,0880;1,8989;10,0639;36,1098;1291,5227;3,5099;2;Rede folgada
