uf_cod;uf_sigla;uf_nome;regiao;cluster;cluster_nome;data_competencia;competencia;ano;mes;ano_fechado_2025;competencia_suspeita;populacao;aih_aprovadas;internacoes;dias_permanencia;obitos;valor_total;dias_no_mes;leitos_int_sus;leitos_comp_sus;leitos_sus_total;leitos_exist_total;taxa_ocupacao_pct;media_permanencia;custo_medio_aih;taxa_mortalidade_pct;leitos_sus_por_mil_hab;pressao_aih_por_leito;pct_leitos_uti;pct_rede_sus;razao_mediana
11;RO;Rondônia;Norte;2;Rede folgada;2025-01-01;2025-01;2025;1;True;False;1751950;10636,0000;10636,0000;54972,0000;358,0000;13741457,6100;31;3794,0000;431,0000;4225,0000;5636,0000;41,9714;5,2000;1291,9761;3,3659;2,4116;2,5174;10,2012;74,9645;0,9246
11;RO;Rondônia;Norte;2;Rede folgada;2025-02-01;2025-02;2025;2;True;False;1751950;10219,0000;10219,0000;50925,0000;330,0000;11755398,5000;28;3839,0000;442,0000;4281,0000;5662,0000;42,4842;5,0000;1150,3472;3,2293;2,4436;2,3871;10,3247;75,6093;0,8884
11;RO;Rondônia;Norte;2;Rede folgada;2025-03-01;2025-03;2025;3;True;False;1751950;10762,0000;10762,0000;51995,0000;316,0000;11987991,3900;31;3981,0000;446,0000;4427,0000;5814,0000;37,8870;4,8000;1113,9185;2,9363;2,5269;2,4310;10,0745;76,1438;0,9356
11;RO;Rondônia;Norte;2;Rede folgada;2025-04-01;2025-04;2025;4;True;False;1751950;11551,0000;11551,0000;52847,0000;382,0000;13658025,2900;30;4032,0000;448,0000;4480,0000;5877,0000;39,3207;4,6000;1182,4106;3,3071;2,5572;2,5783;10,0000;76,2294;1,0042
11;RO;Rondônia;Norte;2;Rede folgada;2025-05-01;2025-05;2025;5;True;False;1751950;11823,0000;11823,0000;57383,0000;369,0000;13811619,2000;31;4032,0000;448,0000;4480,0000;5872,0000;41,3184;4,9000;1168,1992;3,1210;2,5572;2,6391;10,0000;76,2943;1,0278
11;RO;Rondônia;Norte;2;Rede folgada;2025-06-01;2025-06;2025;6;True;False;1751950;11235,0000;11235,0000;57486,0000;369,0000;12193265,9600;30;4131,0000;449,0000;4580,0000;5912,0000;41,8384;5,1000;1085,2929;3,2844;2,6142;2,4531;9,8035;77,4696;0,9767
11;RO;Rondônia;Norte;2;Rede folgada;2025-07-01;2025-07;2025;7;True;False;1751950;12610,0000;12610,0000;64847,0000;429,0000;14363642,6700;31;4099,0000;450,0000;4549,0000;5886,0000;45,9846;5,1000;1139,0676;3,4021;2,5965;2,7720;9,8923;77,2851;1,0962
11;RO;Rondônia;Norte;2;Rede folgada;2025-08-01;2025-08;2025;8;True;False;1751950;12371,0000;12371,0000;60699,0000;377,0000;13635815,6000;31;4134,0000;446,0000;4580,0000;5930,0000;42,7518;4,9000;1102,2404;3,0474;2,6142;2,7011;9,7380;77,2344;1,0755
11;RO;Rondônia;Norte;2;Rede folgada;2025-09-01;2025-09;2025;9;True;False;1751950;12259,0000;12259,0000;59936,0000;327,0000;13935621,4800;30;4163,0000;448,0000;4611,0000;5944,0000;43,3283;4,9000;1136,7666;2,6674;2,6319;2,6586;9,7159;77,5740;1,0657
11;RO;Rondônia;Norte;2;Rede folgada;2025-10-01;2025-10;2025;10;True;False;1751950;12766,0000;12766,0000;61979,0000;375,0000;14657347,9600;31;4213,0000;462,0000;4675,0000;5994,0000;42,7663;4,9000;1148,1551;2,9375;2,6685;2,7307;9,8824;77,9947;1,1098
11;RO;Rondônia;Norte;2;Rede folgada;2025-11-01;2025-11;2025;11;True;False;1751950;12159,0000;12159,0000;59073,0000;365,0000;14272355,7700;30;4265,0000;465,0000;4730,0000;6041,0000;41,6300;4,9000;1173,8100;3,0019;2,6998;2,5706;9,8309;78,2983;1,0570
11;RO;Rondônia;Norte;2;Rede folgada;2025-12-01;2025-12;2025;12;True;False;1751950;11455,0000;11455,0000;56751,0000;347,0000;13150092,7700;31;4301,0000;455,0000;4756,0000;6110,0000;38,4920;5,0000;1147,9784;3,0292;2,7147;2,4085;9,5669;77,8396;0,9958
11;RO;Rondônia;Norte;2;Rede folgada;2026-01-01;2026-01;2026;1;False;False;1751950;11443,0000;11443,0000;59331,0000;349,0000;14006537,5800;31;4301,0000;455,0000;4756,0000;6125,0000;40,2419;5,2000;1224,0267;3,0499;2,7147;2,4060;9,5669;77,6490;0,9948
11;RO;Rondônia;Norte;2;Rede folgada;2026-02-01;2026-02;2026;2;False;False;1751950;11312,0000;11312,0000;55734,0000;322,0000;12404995,0000;28;4304,0000;451,0000;4755,0000;6096,0000;41,8612;4,9000;1096,6226;2,8465;2,7141;2,3790;9,4848;78,0020;0,9834
11;RO;Rondônia;Norte;2;Rede folgada;2026-03-01;2026-03;2026;3;False;False;1751950;13252,0000;13252,0000;66478,0000;441,0000;15065917,2300;31;4203,0000;446,0000;4649,0000;5934,0000;46,1272;5,0000;1136,8788;3,3278;2,6536;2,8505;9,5935;78,3451;1,1520
11;RO;Rondônia;Norte;2;Rede folgada;2026-04-01;2026-04;2026;4;False;False;1751950;12322,0000;12322,0000;58001,0000;358,0000;13326237,9300;30;4167,0000;446,0000;4613,0000;5900,0000;41,9113;4,7000;1081,4996;2,9054;2,6331;2,6711;9,6683;78,1864;1,0712
11;RO;Rondônia;Norte;2;Rede folgada;2026-05-01;2026-05;2026;5;False;False;1751950;10613,0000;10613,0000;54838,0000;359,0000;12820257,8900;31;4224,0000;444,0000;4668,0000;5964,0000;37,8956;5,2000;1207,9768;3,3826;2,6645;2,2736;9,5116;78,2696;0,9226
11;RO;Rondônia;Norte;2;Rede folgada;2026-06-01;2026-06;2026;6;False;False;1751950;8456,0000;8456,0000;50940,0000;313,0000;10710668,0200;30;4290,0000;446,0000;4736,0000;6078,0000;35,8530;6,0000;1266,6353;3,7015;2,7033;1,7855;9,4172;77,9204;0,7351
12;AC;Acre;Norte;0;Alta pressão;2025-01-01;2025-01;2025;1;True;False;884372;4541,0000;4537,0000;21105,0000;151,0000;4304797,5400;31;1433,0000;199,0000;1632,0000;1816,0000;41,7161;4,7000;947,9845;3,3253;1,8454;2,7825;12,1936;89,8678;0,8927
12;AC;Acre;Norte;0;Alta pressão;2025-02-01;2025-02;2025;2;True;False;884372;4243,0000;4240,0000;20483,0000;132,0000;4158930,1400;28;1429,0000;199,0000;1628,0000;1812,0000;44,9346;4,8000;980,1862;3,1110;1,8409;2,6063;12,2236;89,8455;0,8341
12;AC;Acre;Norte;0;Alta pressão;2025-03-01;2025-03;2025;3;True;False;884372;5348,0000;5346,0000;25325,0000;169,0000;5349566,9900;31;1429,0000;199,0000;1628,0000;1812,0000;50,1803;4,7000;1000,2930;3,1601;1,8409;3,2850;12,2236;89,8455;1,0513
