 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun";"Total"
"11 Rondônia";10636;10219;10762;11551;11823;11235;12610;12371;12259;12766;12159;11455;11443;11312;13252;12322;10613;8456;207244
"12 Acre";4541;4243;5348;5887;5601;5988;5122;5091;5062;5560;4609;4527;4774;4479;5087;4951;5328;-;86198
"13 Amazonas";22036;18984;19892;20290;20166;22515;24613;24408;23100;25112;21821;21542;21748;20400;23276;23388;22716;19563;395570
"14 Roraima";3882;2855;3459;2895;2898;2935;3002;3193;2738;2346;2740;2128;2597;2961;3082;3013;352;-;47076
"15 Pará";44599;43943;47078;46661;49149;48858;49639;50659;49447;50058;48679;48817;47344;45674;50991;49732;47073;40277;858678
"16 Amapá";4219;4023;5009;5258;5246;5312;5059;4957;4792;4903;4195;4900;4938;4640;5420;5563;5849;5777;90060
"17 Tocantins";8962;8871;9143;9139;9526;9711;9478;9466;9104;9302;8338;7768;8884;9024;9574;9167;10204;845;156506
"21 Maranhão";41684;39185;41505;42493;44492;44134;44191;42849;43689;43078;41984;40204;41122;38627;42816;40324;38538;33036;743951
"22 Piauí";19036;17055;18468;17687;19216;19293;19503;18952;17236;19901;18131;19014;19652;18035;18254;17669;18876;16948;332926
"23 Ceará";45944;45200;48113;49533;54229;50392;50832;50122;53075;52261;49770;48461;48963;46573;52992;49667;53661;53245;903033
"24 Rio Grande do Norte";17947;17891;18602;18675;20311;19291;20225;19378;18940;18364;18141;17690;17818;16670;18687;18285;18510;18330;333755
"25 Paraíba";20025;19484;21501;21058;22266;22325;22818;23199;22458;23150;20585;19248;20851;19591;23195;22135;21143;21378;386410
"26 Pernambuco";52811;50419;53849;56353;58995;55198;57887;58867;58532;58387;55363;55935;52161;51391;58473;57182;58571;54297;1004671
"27 Alagoas";13473;13863;14431;14383;15373;13732;17324;15188;15198;15730;14768;14176;14547;13924;15523;15819;16204;15492;269148
"28 Sergipe";9452;9482;10435;10574;10594;9399;10602;10658;11257;11059;10374;10417;10283;10722;11331;10944;10476;10160;188219
"29 Bahia";72639;75137;78502;78674;82789;79100;84930;85129;86235;82581;80243;77219;78289;78699;84229;82269;81257;76255;1444176
"31 Minas Gerais";126421;122362;127756;130830;139426;136236;140889;139110;138486;139313;129691;128003;131812;128437;139746;134762;133074;102510;2368864
"32 Espírito Santo";25860;24986;27148;23758;29634;28053;27539;27626;26794;28119;26044;25612;24864;25278;26285;25724;26369;26505;476198
"33 Rio de Janeiro";75888;71708;73808;73202;78629;78071;80737;79178;80403;81103;77246;76201;73416;72579;81704;78275;80056;79626;1391830
"35 São Paulo";238138;231280;245830;244989;259055;245365;254711;252961;250980;256599;239605;230722;237637;230745;255490;250397;257281;249501;4431286
"41 Paraná";87480;85810;88023;91035;93298;94033;95790;93909;94435;96024;91831;89605;93660;89924;94807;85479;99565;94059;1658767
"42 Santa Catarina";53631;53444;55021;55685;60523;57434;60325;60269;59352;61453;58629;55204;56937;53982;58770;58568;58868;59237;1037332
"43 Rio Grande do Sul";66998;66262;68915;70578;73411;71678;75146;74367;75647;75963;73860;70963;70041;68243;73983;75138;74689;76035;1301917
"50 Mato Grosso do Sul";18666;16939;17766;18774;18744;17680;18272;18088;18389;17417;16642;16193;17584;16834;17133;17648;17469;16782;317020
"51 Mato Grosso";20559;20655;23311;21906;22988;23314;21914;23376;22979;22427;21284;20652;21329;20677;23127;22925;22908;20541;396872
"52 Goiás";38096;37257;40264;39032;41650;39558;39900;39311;38424;38977;38219;37195;37035;37040;39981;38968;39503;36749;697159
"53 Distrito Federal";20995;19383;21044;20310;21894;21120;21589;20540;20873;20827;19791;20358;19532;18350;20437;19766;21519;21185;369513
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";1164618;1130940;1194983;1201210;1271926;1231960;1274647;1263222;1259884;1272780;1204742;1174209;1189261;1154811;1267645;1230080;1250672;1156789;21894379
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
