 Morbidade Hospitalar do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês processamento
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun";"Total"
"11 Rondônia";54972;50925;51995;52847;57383;57486;64847;60699;59936;61979;59073;56751;59331;55734;66478;58001;54838;50940;1034215
"12 Acre";21105;20483;25325;26806;25666;28832;23436;23748;24073;27736;23234;20614;22859;21092;24632;23352;25454;-;408447
"13 Amazonas";109116;87554;95776;95973;91098;107154;116339;112612;99568;110448;96075;93620;94755;90912;101752;97503;97936;90109;1788300
"14 Roraima";28646;20734;22112;19871;19826;21713;22743;26069;18754;16703;17827;16353;19126;20627;24754;17967;4202;-;338027
"15 Pará";191632;190025;204502;195977;216710;214052;213257;216459;213248;219361;206342;205345;205664;196230;216735;210481;206076;183745;3705841
"16 Amapá";22248;18278;21706;23910;24343;25939;24151;22002;21488;22659;21351;21833;23562;20236;26807;25703;28953;28756;423925
"17 Tocantins";46182;48094;46447;45481;46376;47160;48510;50831;46414;47796;41963;38366;42003;43912;48274;47832;50872;3488;790001
"21 Maranhão";211129;195072;213641;208126;223733;221213;221474;214158;216592;210783;203848;199364;202627;192430;215079;207326;201907;182985;3741487
"22 Piauí";98194;88457;96517;88841;99050;97801;97992;93770;77236;91166;87749;97551;94621;89439;91121;91490;92512;89791;1663298
"23 Ceará";277687;263732;280026;279099;313284;282690;285811;282324;304517;297550;285241;274683;282343;261977;293786;278647;298019;300892;5142308
"24 Rio Grande do Norte";87407;82142;88765;84556;95162;89388;93669;89000;88441;84606;83787;84394;90816;83249;87171;87497;89179;87311;1576540
"25 Paraíba";106555;100520;111508;109266;117311;118778;122072;124977;117813;118815;112038;109062;115476;101546;120620;112681;111471;114358;2044867
"26 Pernambuco";269432;248824;276702;279841;293642;275959;291582;288001;287595;290936;274080;284449;270043;260618;290433;287151;297829;281233;5048350
"27 Alagoas";84195;80336;84802;80830;84830;75221;98505;86243;89339;89583;85177;82819;86002;75716;89416;91750;90228;85167;1540159
"28 Sergipe";53839;55236;57109;53527;56713;51881;60804;60262;59977;57895;57179;55609;58272;57989;65514;51949;53829;51996;1019580
"29 Bahia";343967;354125;368586;368523;382847;377327;396359;398701;400419;385573;374707;365068;367750;378245;393986;377229;369024;364227;6766663
"31 Minas Gerais";617412;578105;605049;607604;644651;643761;666303;651159;641272;641238;595462;597489;630622;597739;636022;620352;601483;467707;11043430
"32 Espírito Santo";123233;116767;134592;115284;144072;133988;130238;132175;127691;129935;121766;122966;123026;120796;122478;117611;123914;127569;2268101
"33 Rio de Janeiro";468935;424270;445158;442321;466319;462416;476115;463649;465982;469840;439687;439069;424935;429823;473652;456908;470991;454662;8174732
"35 São Paulo";1235282;1147323;1226858;1216796;1297721;1235354;1293431;1249868;1240694;1262756;1189417;1180941;1205172;1152078;1252434;1225408;1250051;1237933;22099517
"41 Paraná";366197;339187;355819;353286;367503;377040;383958;377036;374212;377834;366531;369489;375393;358403;370284;340667;385254;366825;6604918
"42 Santa Catarina";224756;212451;224117;220334;245691;237447;252725;245695;237780;246102;233108;229151;233059;217864;241228;233279;236133;241733;4212653
"43 Rio Grande do Sul";394801;389030;395585;410953;434133;416229;436125;431480;436364;430048;409034;397599;399216;383276;418595;417244;411881;428024;7439617
"50 Mato Grosso do Sul";87062;73775;80044;85682;86090;82732;84847;83449;83210;78631;75976;76778;82621;81158;79927;83145;82743;77990;1465860
"51 Mato Grosso";99683;92225;108498;100312;99702;106483;96619;103512;101576;96283;92470;90798;93827;90265;96150;98362;99895;94437;1761097
"52 Goiás";172529;165399;180858;169134;188415;175406;182299;178269;172683;172477;168791;165472;170436;159568;180644;171497;178603;166588;3119068
"53 Distrito Federal";122450;113191;116980;115966;122933;119646;122666;119571;119437;119657;113823;117039;115671;106008;117471;109192;124204;121397;2117302
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";5918646;5556260;5919077;5851146;6245204;6083096;6306877;6185719;6126311;6158390;5835736;5792672;5889228;5646930;6145443;5940224;6037481;5699863;107338303
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
