 Morbidade Hospitalar do SUS - por local de internação - Brasil
Média permanência por Unidade da Federação e Ano/mês processamento
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun";"Total"
"11 Rondônia";5,2;5,0;4,8;4,6;4,9;5,1;5,1;4,9;4,9;4,9;4,9;5,0;5,2;4,9;5,0;4,7;5,2;6,0;5,0
"12 Acre";4,7;4,8;4,7;4,6;4,6;4,8;4,6;4,7;4,8;5,0;5,0;4,6;4,8;4,7;4,8;4,7;4,8;...;4,7
"13 Amazonas";5,0;4,6;4,8;4,7;4,5;4,8;4,7;4,6;4,3;4,4;4,4;4,3;4,4;4,5;4,4;4,2;4,3;4,6;4,5
"14 Roraima";7,4;7,3;6,4;6,9;6,8;7,4;7,6;8,2;6,8;7,1;6,5;7,7;7,4;7,0;8,0;6,0;11,9;...;7,2
"15 Pará";4,3;4,3;4,3;4,2;4,4;4,4;4,3;4,3;4,3;4,4;4,2;4,2;4,3;4,3;4,3;4,2;4,4;4,6;4,3
"16 Amapá";5,3;4,5;4,3;4,5;4,6;4,9;4,8;4,4;4,5;4,6;5,1;4,5;4,8;4,4;4,9;4,6;5,0;5,0;4,7
"17 Tocantins";5,2;5,4;5,1;5,0;4,9;4,9;5,1;5,4;5,1;5,1;5,0;4,9;4,7;4,9;5,0;5,2;5,0;4,1;5,0
"21 Maranhão";5,1;5,0;5,2;4,9;5,1;5,1;5,1;5,0;5,0;4,9;4,9;5,0;5,0;5,0;5,1;5,2;5,3;5,6;5,1
"22 Piauí";5,2;5,2;5,3;5,1;5,2;5,1;5,1;5,0;4,5;4,6;4,9;5,2;4,8;5,0;5,0;5,2;4,9;5,3;5,0
"23 Ceará";6,1;5,9;5,9;5,7;5,8;5,7;5,7;5,7;5,8;5,7;5,8;5,7;5,8;5,7;5,6;5,7;5,6;5,7;5,7
"24 Rio Grande do Norte";4,9;4,6;4,8;4,5;4,7;4,7;4,6;4,6;4,7;4,6;4,6;4,8;5,1;5,0;4,7;4,8;4,8;4,8;4,7
"25 Paraíba";5,4;5,2;5,2;5,2;5,3;5,4;5,4;5,4;5,3;5,2;5,5;5,7;5,6;5,2;5,2;5,1;5,3;5,4;5,3
"26 Pernambuco";5,1;5,0;5,2;5,0;5,0;5,0;5,1;4,9;4,9;5,0;5,0;5,1;5,2;5,1;5,0;5,1;5,1;5,2;5,1
"27 Alagoas";6,4;5,9;6,0;5,8;5,6;5,6;5,8;5,8;6,0;5,8;5,9;6,0;6,1;5,6;5,9;5,9;5,7;5,6;5,9
"28 Sergipe";5,7;5,9;5,5;5,1;5,4;5,5;5,8;5,7;5,4;5,3;5,5;5,4;5,7;5,4;5,8;4,8;5,2;5,2;5,5
"29 Bahia";4,8;4,7;4,7;4,7;4,6;4,8;4,7;4,7;4,7;4,7;4,7;4,7;4,7;4,8;4,7;4,6;4,6;4,8;4,7
"31 Minas Gerais";4,9;4,7;4,8;4,7;4,6;4,7;4,7;4,7;4,7;4,6;4,6;4,7;4,8;4,7;4,6;4,6;4,5;4,6;4,7
"32 Espírito Santo";4,8;4,7;5,0;4,9;4,9;4,8;4,7;4,8;4,8;4,6;4,7;4,8;5,0;4,8;4,7;4,6;4,7;4,8;4,8
"33 Rio de Janeiro";6,2;6,0;6,1;6,1;6,0;6,0;5,9;5,9;5,8;5,8;5,7;5,8;5,8;6,0;5,8;5,9;5,9;5,8;5,9
"35 São Paulo";5,3;5,1;5,1;5,1;5,1;5,1;5,2;5,0;5,0;5,0;5,1;5,2;5,2;5,1;5,0;5,0;4,9;5,0;5,1
"41 Paraná";4,3;4,0;4,1;3,9;4,0;4,1;4,1;4,1;4,0;4,0;4,1;4,2;4,1;4,0;4,0;4,1;3,9;4,0;4,0
"42 Santa Catarina";4,2;4,0;4,1;4,0;4,1;4,1;4,2;4,1;4,0;4,0;4,0;4,2;4,1;4,0;4,1;4,0;4,0;4,1;4,1
"43 Rio Grande do Sul";5,9;5,9;5,8;5,9;6,0;5,8;5,8;5,8;5,8;5,7;5,6;5,6;5,7;5,7;5,7;5,6;5,5;5,7;5,8
"50 Mato Grosso do Sul";4,7;4,4;4,5;4,6;4,6;4,7;4,7;4,6;4,6;4,5;4,6;4,8;4,7;4,9;4,7;4,8;4,8;4,7;4,7
"51 Mato Grosso";4,9;4,5;4,7;4,6;4,4;4,6;4,4;4,5;4,5;4,3;4,4;4,4;4,4;4,4;4,2;4,3;4,4;4,6;4,5
"52 Goiás";4,6;4,5;4,6;4,4;4,6;4,5;4,7;4,6;4,6;4,5;4,5;4,6;4,7;4,4;4,6;4,5;4,6;4,6;4,6
"53 Distrito Federal";5,9;5,9;5,6;5,7;5,6;5,7;5,7;5,8;5,7;5,8;5,8;5,8;5,9;5,8;5,8;5,5;5,8;5,7;5,7
"00 Ignorado/exterior";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Total";5,1;5,0;5,0;4,9;5,0;5,0;5,0;4,9;4,9;4,9;4,9;5,0;5,0;4,9;4,9;4,9;4,9;5,0;4,9
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
