 Morbidade Hospitalar do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun";"Total"
"11 Rondônia";13741457,61;11755398,50;11987991,39;13658025,29;13811619,20;12193265,96;14363642,67;13635815,60;13935621,48;14657347,96;14272355,77;13150092,77;14006537,58;12404995,00;15065917,23;13326237,93;12820257,89;10710668,02;239497247,85
"12 Acre";4304797,54;4158930,14;5349566,99;5918330,98;6046541,01;6043514,12;5411006,04;5494611,61;5098665,66;6158769,58;5244415,61;4678713,12;4636392,19;4858378,86;5936262,54;4701373,92;5053133,28;-;89093403,19
"13 Amazonas";24670895,98;21277756,14;23057358,50;22683833,36;22636083,40;25835288,83;29293267,42;29353157,80;28644792,01;34330098,28;31406263,22;28328402,57;26161272,89;27469880,74;29366179,93;30940873,61;30369495,57;28944986,17;494769886,42
"14 Roraima";4483130,19;3607405,93;4084049,14;3504020,66;3512010,25;3756101,67;3878433,69;3889335,40;3983498,64;3503516,86;3973568,92;3801944,02;3843081,48;3987497,87;4579711,91;4094540,11;808205,15;-;63290051,89
"15 Pará";51761784,05;53428701,89;56875696,28;53969073,20;59203836,90;59869103,59;64852028,64;66441536,25;64112900,92;69855772,31;68593530,97;69520406,11;58047445,48;58208902,21;69174186,54;67209741,66;67947930,00;61008301,55;1120080878,55
"16 Amapá";3830729,66;3664424,47;4194271,39;4337764,38;4463067,07;4503337,18;4504941,38;4714675,85;4566014,11;4643315,73;4555039,93;6530443,47;6502052,65;6416121,70;5081229,74;7343342,15;6250992,43;6078343,63;92180106,92
"17 Tocantins";10668909,52;11878297,64;11435409,53;11864295,77;11929719,19;12412307,43;13144531,85;11891307,10;13062907,71;11647566,44;10833613,75;9759133,45;10986905,34;11726404,56;13049877,88;11388125,31;13997990,50;891593,88;202568896,85
"21 Maranhão";44572010,77;41011194,85;45971555,33;45843303,17;49105190,77;48391335,34;50120668,70;47977350,59;50963150,74;48818008,90;46957517,33;45750858,99;49580723,60;44694454,55;52472985,39;48427555,39;48452957,06;43208747,36;852319568,83
"22 Piauí";23255871,35;20722631,74;23070895,04;21843276,62;24868016,05;25544720,50;25452533,59;25139477,41;19915732,31;25003967,57;22887740,76;24560044,72;26775557,50;25524015,36;24626643,17;24581829,97;26374110,99;25280754,74;435427819,39
"23 Ceará";70298276,30;69418258,85;73734980,20;72742059,84;79130869,36;75301027,22;75339203,24;78010797,75;86529567,58;87156488,72;86208728,61;77723892,48;78797901,34;74165744,76;85944314,54;81751502,83;92496843,53;94664330,51;1439414787,66
"24 Rio Grande do Norte";34392409,45;32823427,66;35945850,33;33664203,91;38861979,68;36718351,37;38544494,81;38046633,57;37526730,72;36049884,57;34654339,62;35440994,52;33067115,03;33037765,56;36441603,16;37710636,19;39610530,61;38897889,17;651434839,93
"25 Paraíba";39076999,62;40959565,34;42618588,45;41590219,33;43130154,69;45676228,16;49289711,26;50194216,85;49162706,77;57206602,17;47414960,10;41139002,54;49037509,15;46982350,28;55291322,05;52071351,34;52174188,74;56802256,19;859817933,03
"26 Pernambuco";91904755,43;88194104,42;95115610,27;96678351,14;103702482,24;94094432,24;103810945,11;102390632,87;101170686,54;105782865,74;99137669,30;102253565,08;98784388,81;93368442,24;112099465,48;103343734,10;110274685,25;103832503,61;1805939319,87
"27 Alagoas";21873920,24;22259558,06;23522619,11;22002017,39;23899674,83;21575630,41;27522097,92;25393840,08;25071296,94;27127477,88;24861039,13;25244734,15;24624261,52;24030826,54;27189369,50;25809905,96;28324974,64;25788212,73;446121457,03
"28 Sergipe";16057326,60;15010736,97;17380762,19;17078431,16;18868382,17;16399331,55;18015335,19;18283298,02;19084845,88;19453428,02;18713299,26;19960893,28;19485035,83;22338611,47;23424963,09;20928048,34;22895146,35;19143100,37;342520975,74
"29 Bahia";101169012,73;102516132,42;108978780,55;110373541,25;114953196,74;113784782,28;118130534,42;118456810,48;124086308,69;115853603,94;120933179,32;113230303,82;110420956,11;114302600,79;127110112,17;121351265,07;125549687,85;122810554,49;2084011363,12
"31 Minas Gerais";241706450,62;236510013,17;241278022,72;253604571,81;283899288,47;267495363,43;286026154,91;298641243,11;306335909,47;308326427,50;292299501,23;289158704,43;290879158,19;288731230,16;316303873,88;301249486,70;308224932,48;232564301,77;5043234634,05
"32 Espírito Santo";44944467,35;42935409,72;47305485,54;42544304,44;51551302,68;47757257,39;47794841,73;49992632,17;47837414,36;49536337,47;46530178,04;45599970,34;46923627,71;46125777,76;47045996,21;45686811,41;47485486,43;49314233,34;846911534,09
"33 Rio de Janeiro";137956810,22;127736526,00;133615012,17;131780289,46;145544195,71;147094753,51;152083501,77;147608454,40;147932096,09;154809267,38;141759386,44;143981832,79;137771760,09;138315902,10;155622684,25;155054128,78;160577222,37;161126337,52;2620370161,05
"35 São Paulo";435538388,26;424280664,25;437127872,66;444336294,74;482005606,87;461691039,83;488700325,84;487146112,76;489124420,55;492516576,71;463125467,91;443635134,02;449395540,95;439341433,22;480274518,32;475749201,57;496066877,27;481758922,99;8371814398,72
"41 Paraná";172012112,08;168718523,67;176038498,14;174403025,04;184445778,50;193816066,62;197283676,47;188253879,58;195328758,23;197442154,37;185400198,97;188838931,95;193714125,78;190888361,59;201210001,82;178987309,39;210616961,76;204830453,56;3402228817,52
"42 Santa Catarina";119781839,18;114631209,60;119762699,67;120294902,48;132094587,59;128173835,01;137286242,86;138001946,67;133234958,79;138824866,75;128894529,53;125366973,40;130215849,26;123436175,75;133146335,24;130715341,52;135410263,42;138785313,92;2328057870,64
"43 Rio Grande do Sul";125844311,47;126541689,89;126768377,82;134140304,20;142196181,97;135806933,15;143674438,93;146348123,47;152181485,66;152177778,67;152309689,37;150118270,47;142492287,86;142511330,43;155196988,11;157758579,01;160051390,61;166452553,45;2612570714,54
"50 Mato Grosso do Sul";30469728,41;26700192,71;26225107,96;27942484,03;30018066,64;28438287,97;28085221,27;29204770,02;30582264,84;26955579,70;27462027,14;28089370,93;28525207,28;29025231,10;27066827,73;27576827,76;30135906,57;28815021,60;511318123,66
"51 Mato Grosso";27677916,63;26312066,01;30051322,93;28452069,58;29327509,89;30877786,55;26600972,41;32708055,62;32728369,20;28675719,74;29131857,99;27442563,92;28971406,08;27030813,00;30065176,49;29659703,11;32496129,90;30359680,42;528569119,47
"52 Goiás";57912936,50;57245928,34;61671564,34;60865282,30;61629635,36;61096044,30;66099119,37;64245109,83;62655506,34;65767907,81;63887241,72;61094990,00;60101851,47;60013157,84;65184399,79;60068560,81;69648238,90;64901720,86;1124089195,88
"53 Distrito Federal";33614495,99;33173357,87;34451418,52;33403282,77;37221488,26;33972979,19;35776834,10;35834451,33;37403269,16;37449608,69;35152029,95;35360786,82;35779429,86;33024887,80;38020271,52;35079870,65;39346509,50;37036018,89;641100990,87
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";1983521743,75;1927472106,25;2017619367,16;2029517558,30;2198056465,49;2138319104,80;2251084705,59;2257298276,19;2282259879,39;2319730939,46;2206599369,89;2159760954,16;2159527381,03;2121961293,24;2335991217,68;2252565884,59;2373461049,05;2234006800,74;39248754096,76
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
