CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Unidade da Federação e Ano/mês compet.
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun"
"11 Rondônia";841;848;852;864;858;860;866;867;872;887;899;932;931;926;869;870;896;891
"12 Acre";239;239;239;239;219;269;269;269;276;299;299;299;299;263;263;255;255;262
"13 Amazonas";1239;1239;1237;1237;1238;1269;1275;1276;1269;1295;1297;1297;1283;1255;1253;1253;1246;1263
"14 Roraima";170;170;170;170;170;170;165;165;167;167;171;171;171;171;171;171;171;174
"15 Pará";2324;2320;2340;2334;2311;2323;2355;2356;2377;2384;2387;2384;2358;2364;2366;2396;2356;2395
"16 Amapá";288;288;288;286;287;287;309;309;310;304;327;327;322;322;314;315;319;322
"17 Tocantins";620;622;626;636;638;639;639;643;636;636;647;647;666;719;718;718;719;749
"21 Maranhão";1835;1846;1853;1858;1858;1858;1870;1876;1872;1875;1878;1913;1901;1863;1882;1882;1866;1866
"22 Piauí";762;756;755;749;763;768;768;729;731;725;737;773;740;743;743;742;743;733
"23 Ceará";2663;2666;2672;2674;2685;2725;2747;2762;2792;2793;2881;2881;2822;2823;2843;2837;2825;2857
"24 Rio Grande do Norte";1093;1103;1103;1086;1098;1118;1119;1121;1122;1128;1138;1137;1174;1180;1180;1186;1163;1218
"25 Paraíba";1403;1398;1410;1443;1456;1456;1466;1464;1461;1451;1512;1514;1480;1512;1514;1534;1540;1542
"26 Pernambuco";3524;3516;3603;3660;3710;3720;3693;3634;3615;3589;3631;3601;3527;3487;3485;3494;3489;3492
"27 Alagoas";1025;1040;1030;1038;1038;1047;1047;1050;1050;1050;1045;1065;1044;1047;1045;1041;1053;1053
"28 Sergipe";723;760;753;775;775;798;773;781;786;786;777;801;793;801;800;810;808;812
"29 Bahia";4610;4647;4641;4610;4754;4699;4616;4617;4611;4588;4581;4582;4569;4587;4587;4612;4578;4614
"31 Minas Gerais";7206;7213;7232;7264;7410;7620;7656;7617;7596;7550;7500;7524;7465;7421;7441;7701;7715;7724
"32 Espírito Santo";2009;2009;2013;2034;2041;2041;2041;2041;2041;2059;2061;2057;2039;2024;1997;1997;2021;2021
"33 Rio de Janeiro";10357;10250;10312;10242;10366;10334;10527;10591;10563;10452;10503;10538;10428;10497;10378;10231;10157;10098
"35 São Paulo";19142;19133;19204;19428;19488;19691;19700;19618;19767;19830;19846;19790;19465;19399;19229;19169;19200;19357
"41 Paraná";4355;4286;4306;4289;4303;4335;4330;4364;4374;4358;4348;4346;4350;4343;4347;4339;4340;4351
"42 Santa Catarina";2485;2485;2495;2495;2528;2547;2556;2542;2552;2536;2519;2527;2458;2468;2479;2484;2485;2496
"43 Rio Grande do Sul";3989;3937;3886;3874;4028;4285;4413;4424;4365;4278;4213;4063;4083;4104;4272;4561;4779;4745
"50 Mato Grosso do Sul";959;959;975;977;1003;998;1003;1003;1019;1012;1021;1059;1049;1049;1050;1047;1017;1017
"51 Mato Grosso";1513;1499;1554;1658;1604;1622;1615;1626;1648;1660;1667;1649;1676;1676;1672;1692;1668;1715
"52 Goiás";2608;2588;2598;2618;2635;2669;2768;2779;2787;2787;2804;2805;2695;2707;2724;3063;3011;3023
"53 Distrito Federal";2586;2587;2591;2597;2612;2613;2632;2595;2608;2571;2571;2573;2579;2469;2585;2539;2538;2565
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";80568;80404;80738;81135;81876;82761;83218;83119;83267;83050;83260;83255;82367;82220;82207;82939;82958;83355
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
