CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade SUS por Unidade da Federação e Ano/mês compet.
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun"
"11 Rondônia";431;442;446;448;448;449;450;446;448;462;465;455;455;451;446;446;444;446
"12 Acre";199;199;199;199;179;229;229;229;229;250;250;250;250;214;214;213;213;213
"13 Amazonas";828;828;828;828;829;829;829;830;823;833;833;833;829;817;815;815;815;819
"14 Roraima";147;147;147;147;147;147;147;147;149;149;149;149;149;149;150;150;150;150
"15 Pará";1559;1559;1559;1547;1557;1557;1550;1549;1558;1571;1576;1573;1562;1559;1558;1560;1560;1565
"16 Amapá";143;143;143;141;157;172;172;172;172;172;172;172;164;164;161;162;166;166
"17 Tocantins";295;296;299;299;301;302;302;304;302;302;303;334;334;334;334;334;335;335
"21 Maranhão";1272;1281;1283;1288;1315;1315;1317;1313;1309;1314;1317;1334;1332;1335;1355;1355;1357;1357
"22 Piauí";515;509;508;505;509;512;512;500;506;508;510;513;507;507;507;506;507;507
"23 Ceará";1804;1807;1798;1798;1827;1827;1831;1842;1864;1863;1863;1863;1855;1855;1865;1879;1836;1902
"24 Rio Grande do Norte";684;694;694;687;687;687;687;687;688;684;684;684;680;687;687;688;699;703
"25 Paraíba";971;961;965;965;955;955;955;953;954;958;965;965;925;951;953;953;959;961
"26 Pernambuco";1779;1779;1771;1771;1801;1801;1787;1769;1760;1704;1756;1756;1755;1755;1755;1751;1751;1754
"27 Alagoas";745;741;735;735;735;735;735;735;735;735;735;735;719;722;721;721;723;723
"28 Sergipe";465;465;458;467;467;452;452;460;462;462;453;472;468;468;468;468;468;470
"29 Bahia";2505;2496;2507;2479;2482;2491;2460;2485;2473;2485;2486;2479;2479;2495;2495;2490;2493;2503
"31 Minas Gerais";4349;4341;4342;4341;4426;4549;4583;4545;4526;4497;4486;4496;4496;4475;4497;4565;4552;4541
"32 Espírito Santo";1119;1119;1123;1123;1123;1123;1123;1123;1123;1123;1123;1123;1123;1108;1126;1126;1128;1128
"33 Rio de Janeiro";3631;3624;3624;3616;3656;3629;3618;3641;3642;3635;3640;3638;3511;3555;3550;3544;3535;3534
"35 São Paulo";9303;9297;9298;9299;9349;9442;9453;9447;9442;9446;9447;9447;9428;9428;9426;9420;9412;9408
"41 Paraná";2694;2685;2684;2683;2709;2711;2722;2720;2723;2719;2724;2725;2725;2728;2728;2720;2721;2721
"42 Santa Catarina";1712;1700;1700;1700;1780;1786;1796;1794;1784;1759;1742;1731;1705;1705;1708;1713;1715;1716
"43 Rio Grande do Sul";2717;2695;2655;2643;2800;3009;3086;3086;3022;2964;2870;2733;2726;2726;2954;3125;3345;3355
"50 Mato Grosso do Sul";583;583;583;583;586;586;586;586;586;586;585;585;585;584;585;603;603;603
"51 Mato Grosso";727;704;700;721;720;718;737;737;737;737;745;753;755;756;750;754;751;761
"52 Goiás";1358;1349;1349;1349;1355;1355;1425;1439;1439;1425;1426;1426;1402;1414;1412;1745;1733;1739
"53 Distrito Federal";668;668;668;668;694;710;707;707;691;691;691;691;691;691;691;695;695;754
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";43203;43112;43066;43030;43594;44078;44251;44246;44147;44034;43996;43915;43610;43633;43911;44501;44666;44834
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
