CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Unidade da Federação e Ano/mês compet.
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun"
"11 Rondônia";4795;4814;4962;5013;5014;5052;5020;5063;5072;5107;5142;5178;5194;5170;5065;5030;5068;5187
"12 Acre";1577;1573;1573;1579;1591;1595;1589;1589;1589;1590;1602;1602;1606;1614;1614;1591;1591;1597
"13 Amazonas";6488;6449;6536;6552;6541;6671;6660;6671;6673;6656;6650;6667;6551;6551;6595;6589;6575;6610
"14 Roraima";1456;1455;1455;1460;1457;1457;1415;1415;1426;1426;1529;1529;1529;1529;1529;1529;1529;1494
"15 Pará";14815;14805;14921;14953;14879;14953;15060;15134;15165;15331;15289;15330;15410;15517;15547;15592;15481;15487
"16 Amapá";1669;1669;1677;1639;1565;1565;1529;1529;1569;1570;1591;1591;1593;1595;1644;1626;1617;1656
"17 Tocantins";3319;3337;3347;3412;3485;3485;3489;3388;3389;3385;3418;3376;3418;3463;3542;3572;3649;3652
"21 Maranhão";15061;15088;15052;15086;15198;15256;15260;15217;15231;15234;15244;15356;15353;15308;15266;15269;15273;15283
"22 Piauí";7430;7416;7482;7487;7407;7404;7417;7281;7364;7287;7303;7348;7299;7304;7304;7331;7330;7298
"23 Ceará";19652;19713;19828;19882;19935;20013;20090;20169;20373;20312;20481;20437;20218;20191;20074;20069;20173;20294
"24 Rio Grande do Norte";7780;7756;7733;7757;7753;7746;7796;7925;7937;7869;7840;7801;7759;7770;7782;7748;7738;7920
"25 Paraíba";9682;9668;9643;9659;9803;9819;9820;9819;9776;9713;9795;9838;9858;9847;9868;9861;9861;9925
"26 Pernambuco";23170;23179;23231;23296;23438;23430;23172;23042;23007;23028;23139;23235;23238;23203;23122;23163;23000;22997
"27 Alagoas";6697;6721;6811;6837;6839;6841;6841;6871;6871;6883;6796;6930;6935;6965;6784;6888;6915;6904
"28 Sergipe";3417;3559;3563;3589;3581;3574;3587;3643;3628;3629;3622;3628;3642;3643;3668;3657;3678;3671
"29 Bahia";31260;31202;31269;31196;31591;31523;31296;31293;31219;31021;31169;31078;31157;31050;31195;31274;31171;31325
"31 Minas Gerais";43739;43794;43803;43898;43961;44025;44028;44119;44214;44185;44192;44151;44082;44087;43945;44631;44661;44564
"32 Espírito Santo";8912;8912;8913;8963;8942;9004;8995;8995;9018;8976;9034;9108;9113;9019;9029;9003;8988;9008
"33 Rio de Janeiro";35315;34863;35139;35049;35216;35107;35219;35398;35053;34787;34972;34968;35231;34967;35139;35351;35300;35537
"35 São Paulo";95298;95269;95619;95444;95499;95655;95675;95587;95612;95783;95798;95722;95753;95691;95676;95790;95979;96688
"41 Paraná";27358;27362;27273;27134;27272;27297;27239;27225;27327;27438;27384;27392;27416;27361;27216;27135;27123;27238
"42 Santa Catarina";16107;16126;16113;16123;16142;16157;16197;16259;16318;16264;16289;16486;16441;16476;16487;16496;16476;16581
"43 Rio Grande do Sul";29811;29920;29940;29888;29833;29748;29709;29678;29808;29824;29900;30007;30054;29891;29750;29721;29629;29619
"50 Mato Grosso do Sul";5843;5843;5845;5894;5917;5920;5902;5889;5912;5929;5932;5931;5958;5948;5952;5964;5843;5784
"51 Mato Grosso";7877;7902;7967;7914;7850;7822;7935;8005;7899;7931;7851;7811;7904;7869;7871;7806;7787;7838
"52 Goiás";18296;18200;18229;18269;18356;18326;18276;18321;18324;18178;18160;18144;18116;18119;18079;17672;17564;17573
"53 Distrito Federal";8270;8393;8304;8383;8449;8377;8271;8195;8209;8105;8083;8107;8071;7909;7927;7841;7949;7820
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";455094;454988;456228;456356;457514;457822;457487;457720;457983;457441;458205;458751;458899;458057;457670;458199;457948;459550
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
