 Morbidade Hospitalar do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Jan/2025-Jun/2026
"Unidade da Federação";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun";"Total"
"11 Rondônia";358;330;316;382;369;369;429;377;327;375;365;347;349;322;441;358;359;313;6486
"12 Acre";151;132;169;159;152;207;157;126;138;159;137;104;142;145;158;112;171;-;2519
"13 Amazonas";755;525;609;590;575;772;770;894;684;811;634;601;681;618;769;588;673;661;12210
"14 Roraima";91;73;101;83;96;76;82;87;106;80;77;69;71;74;100;80;1;-;1347
"15 Pará";1279;1411;1338;1355;1463;1501;1340;1427;1340;1367;1296;1273;1430;1325;1417;1419;1331;1266;24578
"16 Amapá";108;108;83;139;148;154;122;157;83;113;127;101;114;116;161;117;185;161;2297
"17 Tocantins";343;285;327;261;300;269;427;318;431;303;241;314;389;287;364;260;412;6;5537
"21 Maranhão";1243;1160;1251;1195;1354;1394;1313;1250;1289;1233;1182;1251;1197;1180;1412;1398;1350;1197;22849
"22 Piauí";699;630;716;647;684;709;675;661;647;709;612;752;678;638;704;692;672;674;12199
"23 Ceará";2113;1857;1928;1934;2226;1894;1943;1925;2112;1946;1805;1924;2064;1846;2178;1914;2091;2066;35766
"24 Rio Grande do Norte";681;631;760;676;807;697;754;712;671;638;652;639;726;607;733;702;756;652;12494
"25 Paraíba";1195;971;1038;929;1041;1123;1199;1216;1085;1091;1120;988;1062;991;1208;1102;1073;1077;19509
"26 Pernambuco";2343;2107;2364;2263;2448;2406;2489;2448;2368;2386;2192;2377;2300;2063;2454;2436;2352;2197;41993
"27 Alagoas";690;643;607;633;651;601;757;716;717;703;719;612;704;593;724;877;714;770;12431
"28 Sergipe";460;459;499;449;455;420;434;555;574;476;533;441;539;491;568;404;436;403;8596
"29 Bahia";2894;2764;3111;2944;3208;3349;3479;3345;3325;3251;2985;2869;2989;3117;3105;3243;2949;3008;55935
"31 Minas Gerais";6084;5637;5618;5348;6270;6594;6656;6462;6087;5929;5410;5499;6185;5487;5811;5683;5545;4493;104798
"32 Espírito Santo";922;926;1020;870;1154;1121;1113;1167;1070;1138;985;1038;1012;948;1031;931;944;1067;18457
"33 Rio de Janeiro";5255;4728;4662;4712;4934;5501;5400;5135;4963;4719;4606;4583;4465;4581;4795;4807;4740;4941;87527
"35 São Paulo";12103;11080;11945;11588;13410;13415;13829;13299;12092;11997;11617;11595;12049;10779;11637;11277;11851;12811;218374
"41 Paraná";3586;3162;3132;3122;3572;3847;3921;3714;3607;3577;3372;3404;3620;3172;3164;3014;3579;3339;61904
"42 Santa Catarina";2142;1985;1932;1899;2201;2385;2622;2441;2247;2208;2157;2127;2216;2003;2071;2134;2077;2156;39003
"43 Rio Grande do Sul";3454;3325;3421;3640;3836;4124;4398;4137;4054;3634;3466;3442;3508;3255;3337;3575;3729;3975;66310
"50 Mato Grosso do Sul";796;655;691;761;777;771;760;816;753;768;705;619;751;708;693;709;720;667;13120
"51 Mato Grosso";759;637;816;659;774;781;773;679;680;636;683;593;647;618;688;675;700;627;12425
"52 Goiás";1398;1246;1407;1212;1506;1447;1547;1449;1344;1394;1259;1274;1267;1205;1346;1364;1415;1348;24428
"53 Distrito Federal";652;505;590;516;599;577;664;603;633;602;548;576;598;539;591;562;600;621;10576
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";52554;47972;50451;48966;55010;56504;58053;56116;53427;52243;49485;49412;51753;47708;51660;50433;51425;50496;933668
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
